Day,Tankno,Experiment,Year,Diluted,DilutionFactor,Ct,CtNum,Replicate,Run,BaselineStart,BaselineEnd,Threshold,Conversion
2,7,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
2,7,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
2,7,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
2,7,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
2,8,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
2,8,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
2,8,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
2,8,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
2,8,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
2,8,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
16,10,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
16,10,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
16,10,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
16,10,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
16,10,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
16,10,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
16,6,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
16,6,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
16,6,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
16,6,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
16,6,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
16,6,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
16,16,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
16,16,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
16,16,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
16,16,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
16,16,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
16,16,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
16,17,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
16,17,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
16,17,1,2022,N,1,NA,51,3,12.21.23,8,20,0.082,-2.4
16,17,1,2022,N,1,NA,51,4,12.21.23,8,20,0.082,-2.4
16,17,1,2022,N,1,NA,51,5,12.21.23,8,20,0.082,-2.4
16,17,1,2022,N,1,NA,51,6,12.21.23,8,20,0.082,-2.4
16,15,1,2022,N,1,NA,51,1,12.21.23,8,20,0.082,-2.4
16,15,1,2022,N,1,NA,51,2,12.21.23,8,20,0.082,-2.4
