sample.id,Tank,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.s__Trachelomonas_sp.,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Synura.__,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Mallomonas.s__Mallomonas_caudata,d__Eukaryota.p__Chlorophyta.c__Chlorophyceae.o__Chlorophyceae.f__Chlorophyceae.g__Chlorophyceae.s__Haematococcus_lacustris,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.__
D14MTP21Exp22021,21,2,14,2021,22021,8/9/2021,Week2,100,0,Trachelomonas abrupta,16843.69918,0,0,0,0,0,0
D14MTP21Exp32022,21,3,14,2022,32022,10/3/2022,Week2,30,4.256432866,Chrysosphaerella sp.,11133.1047,0.038232218,1,1,0,0,0
D14MTP2Exp12022,2,1,14,2022,12022,6/15/2022,Week2,1,4.230996016,Chrysosphaerella sp.,5791.645408,0.073053437,0,5,0,0,1
D14MTP2Exp22021,2,2,14,2021,22021,8/9/2021,Week2,10,0,Trachelomonas abrupta,27225.30545,0,0,0,0,0,0
D14MTP2Exp32022,2,3,14,2022,32022,10/3/2022,Week2,10,0,Chrysosphaerella sp.,13976.18123,0,0,0,0,0,0
D14MTP3Exp12021,3,1,14,2021,12021,6/28/2021,Week2,0,0,Haematococcus pluvialis,1765.050093,0,0,0,0,0,0
D14MTP3Exp12022,3,1,14,2022,12022,6/15/2022,Week2,0,0,Chrysosphaerella sp.,3803.636869,0,0,4,0,0,1
D14MTP3Exp22021,3,2,14,2021,22021,8/9/2021,Week2,0,0,Trachelomonas abrupta,3343.27037,0,1,0,0,0,0
D14MTP3Exp32022,3,3,14,2022,32022,10/3/2022,Week2,100,4.406556017,Chrysosphaerella sp.,4265.546224,0.103305785,0,0,16,0,0
D14MTP4Exp12021,4,1,14,2021,12021,6/28/2021,Week2,10,0,Haematococcus pluvialis,2297.82706,0,3,0,0,0,0
D14MTP4Exp12022,4,1,14,2022,12022,6/15/2022,Week2,30,25.48752,Chrysosphaerella sp.,7636.344187,0.333765993,1,13,5,0,1
D14MTP4Exp22021,4,2,14,2021,22021,8/9/2021,Week2,10,0,Trachelomonas abrupta,16647.71886,0,0,0,0,0,0
D14MTP4Exp32022,4,3,14,2022,32022,10/3/2022,Week2,0,4.222584493,Chrysosphaerella sp.,19331.41239,0.021843125,0,0,0,0,0
D14MTP5Exp12021,5,1,14,2021,12021,6/28/2021,Week2,1,0,Haematococcus pluvialis,1530.70635,0,0,0,0,0,0
D14MTP5Exp12022,5,1,14,2022,12022,6/15/2022,Week2,10,4.214206349,Chrysosphaerella sp.,6843.365407,0.061580905,0,11,0,0,0
D14MTP5Exp22021,5,2,14,2021,22021,8/9/2021,Week2,1,0,Trachelomonas abrupta,11152.99328,0,0,0,0,0,0
D14MTP5Exp32022,5,3,14,2022,32022,10/2/2022,Week2,0,0,Chrysosphaerella sp.,9386.532903,0,0,0,0,0,0
D14MTP6Exp32022,6,3,14,2022,32022,10/3/2022,Week2,100,0,Chrysosphaerella sp.,6805.341224,0,0,0,2,0,0
D14MTP7Exp12021,7,1,14,2021,12021,6/28/2021,Week2,0,0,Haematococcus pluvialis,2941.335164,0,0,0,0,0,0
D14MTP7Exp12022,7,1,14,2022,12022,6/15/2022,Week2,30,34.46588235,Chrysosphaerella sp.,2058.909684,1.673987092,2,0,0,0,19
D14MTP7Exp22021,7,2,14,2021,22021,8/9/2021,Week2,0,0,Trachelomonas abrupta,20735.46942,0,6,0,0,0,0
D14MTP7Exp32022,7,3,14,2022,32022,10/3/2022,Week2,10,0,Chrysosphaerella sp.,7982.259508,0,0,0,0,0,0
