sample.id,Tank,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.s__Trachelomonas_sp.,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Synura.__,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Mallomonas.s__Mallomonas_caudata,d__Eukaryota.p__Chlorophyta.c__Chlorophyceae.o__Chlorophyceae.f__Chlorophyceae.g__Chlorophyceae.s__Haematococcus_lacustris,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.__
D14MTP15Exp22021,15,2,14,2021,22021,8/9/2021,Week2,1,0,Trachelomonas abrupta,22857.07723,0,0,0,0,0,0
D14MTP15Exp32022,15,3,14,2022,32022,10/3/2022,Week2,30,0,Chrysosphaerella sp.,8453.018226,0,0,0,0,0,0
D14MTP16Exp12022,16,1,14,2022,12022,6/15/2022,Week2,100,8.63398374,Chrysosphaerella sp.,6009.252683,0.143678161,0,12,1,0,2
D14MTP16Exp22021,16,2,14,2021,22021,8/9/2021,Week2,100,5.596732543,Trachelomonas abrupta,1525.109618,0.366972477,2,0,0,0,0
D14MTP16Exp32022,16,3,14,2022,32022,10/3/2022,Week2,1,4.273561368,Chrysosphaerella sp.,12587.89372,0.033949773,0,0,1,0,0
D14MTP17Exp12021,17,1,14,2021,12021,6/28/2021,Week2,1,0,Haematococcus pluvialis,1840.254152,0,0,0,0,0,0
D14MTP17Exp12022,17,1,14,2022,12022,6/15/2022,Week2,1,8.651568228,Chrysosphaerella sp.,7181.230774,0.120474728,4,4,0,0,0
D14MTP17Exp22021,17,2,14,2021,22021,8/9/2021,Week2,1,0,Trachelomonas abrupta,3499.12445,0,0,0,0,0,0
D14MTP17Exp32022,17,3,14,2022,32022,10/3/2022,Week2,10,0,Chrysosphaerella sp.,19461.20492,0,0,0,0,0,0
D14MTP18Exp12021,18,1,14,2021,12021,6/28/2021,Week2,100,0,Haematococcus pluvialis,5899.888888,0,0,0,0,0,0
