Tank,sample-id,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,TempC,Cond_mS.cm,Salinity_PSU,pH,Turbidity_FNU,DO_mg.L,TChlor_ug.L
1,D22MTP1Exp22021,2,22,2021,22021,8/16/2021,Week3,30,0,Trachelomonas abrupta,3020.072942,0,22.813,179.9,0.08,8.54,0.08,8.54,2.48
1,D28MTP1Exp22021,2,28,2021,22021,8/23/2021,Week4,30,0,Trachelomonas abrupta,6252.460562,0,22.619,180.2,0.08,8.18,1.05,8.37,2.92
2,D0MTP2Exp22021,2,0,2021,22021,7/26/2021,Day0,10,12.74376,Trachelomonas abrupta,3597.98824,0.354191263,22.194,179.9,0.08,7.84,5.56,8.45,11.14
2,D7MTP2Exp22021,2,7,2021,22021,8/2/2021,Week1,10,24.60185328,Trachelomonas abrupta,9291.299923,0.26478376,22.692,183.4,0.09,8.21,2.02,8.09,14.27
2,D14MTP2Exp22021,2,14,2021,22021,8/9/2021,Week2,10,0,Trachelomonas abrupta,27225.30545,0,23.19,183.7,0.09,8.37,6.12,8.5,5.35
2,D22MTP2Exp22021,2,22,2021,22021,8/16/2021,Week3,10,0,Trachelomonas abrupta,1698.731869,0,22.814,180,0.08,8.45,0.78,8.61,2.59
2,D28MTP2Exp22021,2,28,2021,22021,8/23/2021,Week4,10,0,Trachelomonas abrupta,10194.1481,0,22.755,180.4,0.08,8.28,0.74,8.34,3.19
3,D0MTP3Exp22021,2,0,2021,22021,7/26/2021,Day0,0,0,Trachelomonas abrupta,6276.51853,0,22.294,177,0.08,7.89,5.58,8.44,12.9
3,D7MTP3Exp22021,2,7,2021,22021,8/2/2021,Week1,0,0,Trachelomonas abrupta,2846.1064,0,22.953,178.9,0.08,8.16,1.49,8.3,12.19
3,D14MTP3Exp22021,2,14,2021,22021,8/9/2021,Week2,0,0,Trachelomonas abrupta,3343.27037,0,23.29,178.1,0.08,8.17,1.11,8.27,4.42
3,D22MTP3Exp22021,2,22,2021,22021,8/16/2021,Week3,0,0,Trachelomonas abrupta,2458.208685,0,22.853,176.6,0.08,8.34,2.24,8.47,5.4
3,D28MTP3Exp22021,2,28,2021,22021,8/23/2021,Week4,0,2.13248996,Trachelomonas abrupta,1936.300884,0.110132159,22.804,179.7,0.08,8.27,0.65,8.37,2.98
4,D0MTP4Exp22021,2,0,2021,22021,7/26/2021,Day0,10,99.8442735,Trachelomonas abrupta,4030.077949,2.477477477,22.276,182.1,0.09,7.87,5.32,8.43,12.29
4,D7MTP4Exp22021,2,7,2021,22021,8/2/2021,Week1,10,17.92371308,Trachelomonas abrupta,10924.50312,0.164068909,22.912,184.1,0.09,8.12,2.63,8.35,15.18
4,D14MTP4Exp22021,2,14,2021,22021,8/9/2021,Week2,10,0,Trachelomonas abrupta,16647.71886,0,23.223,180.6,0.08,8.16,3.48,8.26,7.73
